/home/falmeida/Documents/Git_Repos/plot_nucmer/recipe/bin/1_and_2.fasta /home/falmeida/Documents/Git_Repos/plot_nucmer/recipe/bin/n_rosa_genomic.fasta
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
14	12677	36636	24077	12664	12560	89.13	4164906	36648	0.30	34.27	1	NZ_BCZE01000072.1
13501	15231	23667	21931	1731	1737	90.70	4164906	36648	0.04	4.74	1	NZ_BCZE01000072.1
15539	19015	21584	18158	3477	3427	88.08	4164906	36648	0.08	9.35	1	NZ_BCZE01000072.1
19190	24771	18051	12518	5582	5534	91.03	4164906	36648	0.13	15.10	1	NZ_BCZE01000072.1
24858	31602	12499	5748	6745	6752	91.75	4164906	36648	0.16	18.42	1	NZ_BCZE01000072.1
32664	37274	4598	1	4611	4598	91.58	4164906	36648	0.11	12.55	1	NZ_BCZE01000072.1
38592	55901	24444	7148	17310	17297	91.31	4164906	34809	0.42	49.69	1	NZ_BCZE01000076.1
56110	58916	6921	4114	2807	2808	93.24	4164906	34809	0.07	8.07	1	NZ_BCZE01000076.1
59080	62516	3943	489	3437	3455	91.78	4164906	34809	0.08	9.93	1	NZ_BCZE01000076.1
62769	68220	26430	20978	5452	5453	91.21	4164906	26664	0.13	20.45	1	NZ_BCZE01000089.1
70098	73893	83799	79985	3796	3815	92.44	4164906	83805	0.09	4.55	1	NZ_BCZE01000036.1
75365	80044	78551	73905	4680	4647	86.89	4164906	83805	0.11	5.55	1	NZ_BCZE01000036.1
80390	88181	73598	65825	7792	7774	91.23	4164906	83805	0.19	9.28	1	NZ_BCZE01000036.1
88294	100744	65814	53449	12451	12366	91.14	4164906	83805	0.30	14.76	1	NZ_BCZE01000036.1
100847	118824	53347	35343	17978	18005	91.01	4164906	83805	0.43	21.48	1	NZ_BCZE01000036.1
119176	130962	34991	23228	11787	11764	91.98	4164906	83805	0.28	14.04	1	NZ_BCZE01000036.1
131997	142470	23151	12615	10474	10537	91.06	4164906	83805	0.25	12.57	1	NZ_BCZE01000036.1
142944	149929	12399	5446	6986	6954	89.64	4164906	83805	0.17	8.30	1	NZ_BCZE01000036.1
150123	155448	5331	1	5326	5331	92.01	4164906	83805	0.13	6.36	1	NZ_BCZE01000036.1
156080	166961	680	11542	10882	10863	92.39	4164906	15296	0.26	71.02	1	NZ_BCZE01000117.1
180256	184013	11522	15276	3758	3755	86.03	4164906	15296	0.09	24.55	1	NZ_BCZE01000117.1
184207	188972	65	4769	4766	4705	89.89	4164906	14294	0.11	32.92	1	NZ_BCZE01000120.1
189055	190385	4892	6222	1331	1331	88.23	4164906	14294	0.03	9.31	1	NZ_BCZE01000120.1
191321	193033	6229	7940	1713	1712	87.06	4164906	14294	0.04	11.98	1	NZ_BCZE01000120.1
193148	199315	8063	14291	6168	6229	91.03	4164906	14294	0.15	43.58	1	NZ_BCZE01000120.1
199319	203536	1	4212	4218	4212	90.83	4164906	24024	0.10	17.53	1	NZ_BCZE01000095.1
203777	212499	4785	13497	8723	8713	91.21	4164906	24024	0.21	36.27	1	NZ_BCZE01000095.1
212804	219898	13909	21021	7095	7113	90.26	4164906	24024	0.17	29.61	1	NZ_BCZE01000095.1
220002	222972	21023	24023	2971	3001	89.19	4164906	24024	0.07	12.49	1	NZ_BCZE01000095.1
222959	228209	13418	8136	5251	5283	92.88	4164906	13420	0.13	39.37	1	NZ_BCZE01000123.1
228499	229959	7884	6425	1461	1460	94.18	4164906	13420	0.04	10.88	1	NZ_BCZE01000123.1
230155	233789	6202	2542	3635	3661	93.20	4164906	13420	0.09	27.28	1	NZ_BCZE01000123.1
235103	237232	2076	15	2130	2062	91.43	4164906	13420	0.05	15.37	1	NZ_BCZE01000123.1
237252	242627	10564	5187	5376	5378	91.87	4164906	10565	0.13	50.90	1	NZ_BCZE01000132.1
242667	246409	4807	1050	3743	3758	94.72	4164906	10565	0.09	35.57	1	NZ_BCZE01000132.1
247428	252108	4701	2	4681	4700	93.03	4164906	4774	0.11	98.45	1	NZ_BCZE01000150.1
